Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,Breakeven Changes
31/08/1992,0.004922934,-0.013333333,-0.001291895,-0.009294185,-0.047853031,-0.021707173,-0.0445491,0.00082
30/09/1992,-9.39E-05,0.012258958,0.005956974,-0.051998437,0.012023042,0.011041662,0.011874346,0.00196
30/10/1992,0.008712762,-0.031752256,-0.038102411,-0.076795848,-0.02502465,0.007729847,-0.026617623,-0.00148
30/11/1992,0.033341237,-0.011077566,-0.054195182,0.000292575,-0.010698598,0.038030691,-0.017420052,0.00193
31/12/1992,0.009797463,-0.003307272,-0.009731679,0.024492454,-0.011009961,-0.01756131,-0.007153829,-0.00332
29/01/1993,0.004724346,-0.004329169,0.014649895,-0.033256386,-0.004753329,0.011431003,-0.010400373,0.00074
26/02/1993,0.019199791,0.010045245,0.004558688,-0.02714096,-0.010400738,-0.00564131,-0.004838062,0.00053
31/03/1993,0.040991049,0.02096047,-0.006207742,-0.030133144,0.033737236,0.043465963,0.027171983,-0.00036
30/04/1993,0.026893392,0.006824484,-0.002390533,-0.055267183,0.06287323,-0.008160466,0.052756082,0.00151
31/05/1993,0.014481994,-0.020144077,-0.03708779,-0.029965335,0.053368008,-0.046553766,0.05961974,-0.00085
30/06/1993,-1.13E-05,-0.006028977,-0.065082913,0.054315603,-0.007116147,-0.010969111,-0.002893688,-0.00441
30/07/1993,0.025643536,0.014646264,-0.057534882,-0.014266283,0.084801183,0.036336335,0.073313986,-0.00195
31/08/1993,0.040880395,-0.019753122,0.024205167,-0.045493488,-0.088248723,-0.016231214,-0.086554851,-0.00421
30/09/1993,-0.020160081,-0.025783436,0.008108535,-0.077450083,-0.063564267,0.0177331,-0.049507833,0.00113
29/10/1993,0.03914686,-0.014713814,-0.100308035,-0.015301806,0.037742652,0.031043328,0.035003508,0.00025
30/11/1993,-0.051757728,-0.013404317,-0.106001412,-0.000603331,-5.60E-05,0.041966818,0.000910732,-0.00127
31/12/1993,0.056626408,0.011880604,-0.097071117,0.081377533,0.066256808,0.060060298,0.053777063,-0.00255
31/01/1994,0.05626345,0.034355353,0.156788465,0.057445638,-0.023365237,-0.007657367,-0.026149825,0.00071
28/02/1994,-0.027114472,-0.010198431,-0.044075849,0.023851569,0.006215061,-0.005013912,-0.002867987,0.00359
31/03/1994,-0.049932534,-0.000818173,-0.004979716,-0.008771565,0.036084183,-0.026394233,0.024837891,0.00375
29/04/1994,0.023115655,0.018157102,0.065230676,0.008342977,-0.048022141,0.006228491,-0.041845968,0.00199
31/05/1994,0.009465455,0.049819214,0.032686966,0.076653198,0.022929363,0.037556901,0.024674438,0.00364
30/06/1994,-0.026950441,0.024786475,0.054100952,0.052717532,-0.008441201,-0.019715426,-0.006922079,-0.00086
29/07/1994,0.023369136,0.01010853,0.017172166,0.004329176,-0.004859363,-0.017371635,-0.011098105,-0.00156
31/08/1994,0.028153784,-0.030477692,-0.135152044,0.031469412,0.001986096,0.03440726,0.004111801,0.00197
30/09/1994,-0.036399567,-0.00233783,-0.015314478,0.013652155,0.017150085,0.008615196,0.017400146,0.00193
31/10/1994,0.014222518,0.003837313,-0.007351609,0.106612538,-0.033514572,-0.016070962,-0.031941943,-0.00126
30/11/1994,-0.026847761,-0.0065572,-0.057360957,7.49E-02,-0.02031519,-0.002810029,-0.010551827,-0.00211
