Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,UK RPI MOM
28/02/1983,0.020268754,-0.065315964,-0.020277353,-0.020069316,-0.181568563,-0.029314578,-0.182362229,0.004
31/03/1983,0.041056591,0.05500456,0.081769251,-0.000663868,-0.033247014,0.10017138,-0.017627341,0.002
29/04/1983,0.066327144,0.011030881,0.074299425,0.027494108,0.044967022,-0.010471782,0.027251481,0.014
31/05/1983,-0.008829301,0.007564973,-0.006364475,-0.005078522,-0.024423025,0.039051522,-0.048565103,0.004
30/06/1983,0.036510059,-0.018557192,0.045421358,-0.045192692,-0.025936972,-0.018746174,0,0.002
29/07/1983,-0.012176347,0.059060918,0.018638679,0.008519305,-0.007862323,0.051505377,-0.013113743,0.005
31/08/1983,0.013643709,0.072457775,-0.010191353,-0.069888364,-0.001874107,0.064269416,-0.006083468,0.004
30/09/1983,0.01003366,-0.035338257,-0.058544317,-0.093432685,-0.05430216,-0.053262112,-0.040018241,0.004
31/10/1983,-0.01329269,-0.060374168,-0.013535617,-0.059746377,-0.100712428,-0.037490703,-0.07111393,0.004
30/11/1983,0.028016269,0.011490379,-0.049392083,0.044421037,0.071060185,-0.016056155,0.062343418,0.004
30/12/1983,0.014734405,0.006309111,0.080010086,-0.011800901,-0.054801439,-0.014639463,-0.051344512,0.003
31/01/1984,0.016602592,-0.044194419,0.098877298,-0.038804745,-0.038457289,-0.057178252,-0.03810397,-0.001
29/02/1984,-0.030368128,0.027560662,-0.041990158,0.006181936,0.058785805,-0.003863913,0.05195172,0.004
30/03/1984,0.042219773,0.027302581,0.013999549,0.085476007,-0.021801598,0.072201483,-0.027942026,0.003
30/04/1984,0.007059889,-0.027299133,0.019477538,-0.102534693,-0.044654243,-0.029056982,-0.037281438,0.013
31/05/1984,-0.068934392,0.027890599,0.069862279,-0.026636555,0.017790354,0.025662387,0.018013849,0.004
