Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,BE 10 Year
31/07/1992,-0.064924788,-0.016326591,-0.059393035,0.079405007,-0.052071143,-0.095174231,-0.058531889,0.04498
31/08/1992,-0.055169727,-0.026623295,-0.098150473,0.072192639,-0.046585983,-0.108344585,-0.054848337,0.0458
30/09/1992,-0.059391743,-0.02292455,-0.084184919,0.05567267,-0.055117615,-0.104401918,-0.05540212,0.04776
30/10/1992,-0.065103218,-0.058338096,-0.170094642,-0.028065305,-0.084961532,-0.116359871,-0.086172307,0.04628
30/11/1992,0.019023821,-0.04095852,-0.149014278,-0.013029773,-0.112264406,-0.063869658,-0.123415518,0.04821
31/12/1992,-0.013189607,0.001277879,-0.024661988,0.023309552,-0.075860323,-0.116611922,-0.090727629,0.04489
29/01/1993,-0.004920606,-0.019275387,-0.020526916,-0.047062251,-0.09535963,-0.12628479,-0.104378998,0.04563
26/02/1993,0.018666951,-0.006585459,0.004739961,-0.117873095,-0.094516191,-0.10314145,-0.096630216,0.04616
31/03/1993,0.102097584,0.008619808,-0.016665985,-0.145233831,-0.04236068,-0.04572331,-0.043007079,0.0458
30/04/1993,0.117066738,0.010402772,-0.077644594,-0.192769185,0.044583679,-0.027315789,0.030141182,0.04731
31/05/1993,0.111783645,-0.039807579,-0.153581403,-0.22057519,0.094702367,-0.081736097,0.095002545,0.04646
30/06/1993,0.170730202,-0.046367714,-0.1779725,-0.201270749,0.068880353,-0.088721937,0.072811294,0.04205
30/07/1993,0.204625406,-0.026262238,-0.22397806,-0.22805355,0.128545349,0.033959483,0.108691707,0.0401
31/08/1993,0.247728483,-0.032597904,-0.204166186,-0.256259626,0.080665797,0.039747034,0.059948828,0.03589
30/09/1993,0.222688983,-0.068954502,-0.202464041,-0.276227333,-4.83919E-05,0.046628455,-0.004349639,0.03702
29/10/1993,0.259579005,-0.052570715,-0.254040448,-0.228017295,0.06432684,0.070841842,0.058681194,0.03727
30/11/1993,0.155848635,-0.05479984,-0.294900202,-0.228708716,0.07577658,0.074902386,0.078431706,0.036
31/12/1993,0.209450643,-0.040396622,-0.357088418,-0.185882666,0.159823716,0.159829468,0.144614975,0.03345
31/01/1994,0.271491543,-0.003113419,-0.2670253,-0.109500378,0.138134086,0.137940427,0.126398457,0.03416
28/02/1994,0.213712691,-0.023093364,-0.302511415,-0.062824727,0.157243848,0.138658419,0.128628335,0.03775
31/03/1994,0.107703031,-0.043932272,-0.30164953,-0.042183189,0.159871199,0.062425074,0.126063699,0.0415
29/04/1994,0.103628012,-0.033170962,-0.254313068,0.022307935,0.038855501,0.07783804,0.02487413,0.04349
31/05/1994,0.098170653,0.035862188,-0.200278938,0.134671932,0.008836216,0.172922245,-0.008925293,0.04713
30/06/1994,0.068586543,0.067976365,-0.098329954,0.132952061,0.007489873,0.16254972,-0.012929316,0.04627
29/07/1994,0.066216914,0.063200126,-0.026856637,0.154324733,-0.075780771,0.102300762,-0.090558697,0.04471
31/08/1994,0.053180519,0.05156799,-0.178269085,0.247399194,0.015687985,0.159040546,-0.000289459,0.04668
30/09/1994,0.035725515,0.076875145,-0.197361686,0.37058045,0.103233339,0.148656663,0.070083149,0.04861
31/10/1994,0.010883235,0.097150724,-0.114432871,0.54027043,0.027479157,0.096167944,0.000868699,0.04735
30/11/1994,0.037438756,0.104765109,-0.066251152,0.656572922,0.006662057,0.049061891,-0.01059338,0.04524
30/12/1994,-0.008210033,0.117323624,0.029324494,0.581399355,-0.053636822,0.036852568,-0.061329543,0.04737
31/01/1995,-0.081055334,0.068570404,-0.148117933,0.544225603,-0.057789651,0.004603276,-0.062168144,0.04566
28/02/1995,-0.051076592,0.07330739,-0.088028732,0.307845945,-0.066012836,0.03479634,-0.057977879,0.0464
31/03/1995,0.002224203,0.095338183,-0.052404891,0.37245517,-0.05412868,0.048691521,-0.04926775,0.04548
28/04/1995,0.008120006,0.09245179,-0.069657189,0.319173095,-0.011443811,0.060998935,-0.022340911,0.04539
31/05/1995,0.013176304,0.028086573,-0.129230877,0.238984832,-0.051855928,0.047270969,-0.056085329,0.04294
30/06/1995,0.037957077,-0.011315223,-0.24047938,0.197116139,-0.051765732,0.124304454,-0.054410662,0.04616
31/07/1995,0.070821816,-0.006871885,-0.235091165,0.217686377,-0.058827343,0.162950217,-0.052800991,0.0452
31/08/1995,0.057959963,0.036961948,-0.086625264,0.144008437,-0.057261764,0.149706647,-0.060321427,0.04486
29/09/1995,0.122552337,0.044779666,-0.092254791,0.114956743,-0.073194483,0.176552734,-0.077347748,0.04402
31/10/1995,0.0962834,0.044726322,-0.079402453,-0.026683012,-0.051183975,0.221991008,-0.052328664,0.04185
30/11/1995,0.171975554,0.063266089,0.024275563,-0.089782689,-0.028191803,0.213722989,-0.03578307,0.03963
29/12/1995,0.194216211,0.089277287,0.212238652,-0.116999736,-0.036196559,0.200672026,-0.036772406,0.03857
31/01/1996,0.265198645,0.103878818,0.251551995,-0.179295157,0.04115441,0.288960982,0.037062693,0.03913
29/02/1996,0.256771372,0.129555567,0.300340846,-0.05619343,0.024868414,0.262654113,0.01691454,0.04197
29/03/1996,0.277106802,0.155820641,0.394616518,-0.069441621,-0.036483289,0.297906782,-0.030756946,0.04369
30/04/1996,0.273532556,0.188706929,0.402663481,-0.051244606,-0.046475189,0.412092279,-0.028385722,0.04289
31/05/1996,0.260906747,0.192576764,0.417606932,-0.08243787,-0.030637775,0.356725852,-0.0222882,0.04191
28/06/1996,0.273797425,0.203304943,0.703056019,-0.184717169,-0.058002667,0.240593737,-0.049113186,0.04002
31/07/1996,0.150263711,0.163578677,0.540767279,-0.201140125,-0.02817527,0.142366517,-0.024626465,0.04064
30/08/1996,0.148928379,0.200112161,0.531168466,-0.16672602,-0.037318289,0.162611459,-0.025328993,0.04159
30/09/1996,0.179789418,0.194714817,0.709100847,-0.219624182,-0.068418038,0.052474634,-0.051250227,0.04065
31/10/1996,0.197527365,0.168612337,0.744499707,-0.16580394,-0.063094802,-0.067967303,-0.049329623,0.04033
