Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,YoY % NSA
31/01/1984,0.231385098,-0.012549096,0.249432328,-0.241794594,-0.355885952,0.004334358,-0.334363544,0.05
29/02/1984,0.170270317,0.085570808,0.221742164,-0.221483115,-0.166724567,0.030667274,-0.143609261,0.05
30/03/1984,0.17157787,0.05706623,0.145203566,-0.154377218,-0.156859395,0.004464396,-0.152601165,0.05
30/04/1984,0.106460701,0.016990933,0.086763415,-0.261390306,-0.229171081,-0.014401333,-0.205835569,0.05
31/05/1984,0.039364367,0.037506709,0.170134475,-0.277394556,-0.195817185,-0.027101679,-0.150261997,0.05
29/06/1984,0.021145008,0.015861716,0.049250224,-0.281953774,-0.220118608,-0.03693232,-0.188042424,0.05
31/07/1984,0.01125807,-0.134549445,-0.054946626,-0.345436631,-0.307346267,-0.157956585,-0.263908399,0.05
31/08/1984,0.094318667,-0.16160295,0.029635054,-0.244695323,-0.287389333,-0.207747516,-0.243123709,0.05
28/09/1984,0.0932695,-0.153692744,0.133485043,-0.240131974,-0.263729886,-0.190916541,-0.226327643,0.05
31/10/1984,0.121401306,-0.104924012,0.07557684,-0.158145275,-0.21372323,-0.134015112,-0.203372326,0.05
30/11/1984,0.090954344,-0.135125605,0.083659033,-0.228440741,-0.284551386,-0.145797798,-0.267074082,0.05
31/12/1984,0.106370686,-0.175859372,-0.042248415,-0.241118886,-0.303324281,-0.159476082,-0.282541236,0.05
31/01/1985,0.156069158,-0.128505061,-0.111198809,-0.135946821,-0.289456823,-0.094846682,-0.268658545,0.05
28/02/1985,0.21294204,-0.182154313,-0.033287878,-0.193091142,-0.379300303,-0.125440943,-0.347068866,0.05
29/03/1985,0.17482421,-0.144670005,0.037701522,-0.219213864,-0.273681142,-0.146895617,-0.233844817,0.06
30/04/1985,0.163704692,-0.148321869,-0.010553145,-0.149536289,-0.282868283,-0.136142289,-0.246098694,0.07
31/05/1985,0.311177587,-0.182998476,-0.072261582,-0.143907067,-0.299427967,-0.186833483,-0.26162305,0.07
28/06/1985,0.300212998,-0.162667542,-0.03971841,-0.127005566,-0.263710843,-0.168171323,-0.231619766,0.07
31/07/1985,0.317960816,-0.076896408,0.071033213,-0.025712666,-0.135785262,-0.136468693,-0.114344513,0.07
30/08/1985,0.215709966,-0.108601292,0.082789619,-0.098173889,-0.135611608,-0.164243999,-0.121500619,0.06
30/09/1985,0.182626188,-0.071386794,0.109563877,-0.051169233,-0.155107474,-0.11417278,-0.138206461,0.06
31/10/1985,0.217554878,-0.030709654,0.260817555,-0.075343072,-0.113955708,-0.08173911,-0.100065106,0.05
29/11/1985,0.264539374,-0.008335879,0.306676128,-0.023708109,-0.091400712,-0.049064843,-0.088773004,0.06
31/12/1985,0.285455758,0.032808882,0.246733992,0.041807151,-0.011847365,0.048911792,-0.007354914,0.06
31/01/1986,0.214513187,-0.040181638,-0.099862794,-0.025060883,0.06171876,-0.00912466,0.066813065,0.06
28/02/1986,0.263107988,-0.07475511,-0.243514985,0.013458246,0.12043319,0.039583702,0.097610167,0.05
31/03/1986,0.378096107,-0.153328292,-0.393417694,-0.015006691,-0.052445291,0.060418409,-0.065326297,0.04
30/04/1986,0.376651677,-0.089383785,-0.248704194,-0.055558843,0.038824123,0.112138457,0.025843871,0.03
30/05/1986,0.341065757,-0.104976585,-0.258011761,-0.029168691,0.038466364,0.036364321,0.016800296,0.03
30/06/1986,0.344243146,-0.124616353,-0.279319118,-0.042096549,0.046684114,-0.020556869,0.024328172,0.03
31/07/1986,0.336932381,-0.12266506,-0.386011073,-0.095014868,0.05570881,0.025014247,0.037297914,0.02
29/08/1986,0.432996746,-0.071601486,-0.264197087,-0.101985492,0.131036091,0.065185099,0.088574562,0.02
30/09/1986,0.403495678,-0.062527548,-0.363997905,-0.020130652,0.245158874,0.078619961,0.23578804,0.03
31/10/1986,0.354656731,-0.096046022,-0.422797743,-0.072616932,0.191369967,0.019385344,0.167346273,0.03
28/11/1986,0.342865467,-0.103682601,-0.418981168,-0.055784112,0.123596869,0.020095711,0.139399625,0.04
31/12/1986,0.297572205,-0.090107068,-0.266248137,-0.088145017,0.146193324,-0.081381801,0.160842942,0.04
30/01/1987,0.413464525,-0.006630176,0.05233563,-0.120575773,0.102553881,-0.025462282,0.09696052,0.04
27/02/1987,0.372639603,0.01950019,0.052538779,-0.062463829,0.123996392,-0.035391225,0.131077574,0.04
31/03/1987,0.294562805,0.088207129,0.38035692,-0.095359943,0.209631709,-0.117821061,0.195578031,0.04
30/04/1987,0.351694488,0.111884932,0.158587372,-0.037175683,0.288723719,-0.075374069,0.241847602,0.04
29/05/1987,0.340731079,0.169553963,0.228230972,0.013636191,0.266582067,0.045381105,0.240471253,0.04
30/06/1987,0.33439728,0.22050361,0.375560086,0.177497691,0.242321602,0.074812561,0.228011239,0.04
31/07/1987,0.394813529,0.234204798,0.674091275,0.328643507,0.251015041,0.03790231,0.207546923,0.04
31/08/1987,0.329979174,0.121583709,0.197159819,0.32063364,0.085623929,0.035527397,0.095906157,0.04
30/09/1987,0.376378394,0.108100326,0.318145116,0.339387468,0.025600171,0.009746731,0.003056394,0.04
